country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd
Guinea-Bissau,2018,1458868241.85588,3.79999999834297,622.686699691974,778.349910210043,57.7908624560153
Guinea-Bissau,2019,1339449165.48759,4.60009404540054,635.525710129137,697.294926856786,57.0085558449435
Guyana,2017,4748174334.14044,3.73449465936282,5604.56486285706,6124.92996724861,0
Guyana,2018,4787635821.28928,4.44098072535355,5825.03691769949,6145.8424106799,0
Guyana,2019,5173759527.57794,5.3528307896936,6107.3474195403,6609.58642503371,0
Haiti,2017,14213814582.7938,2.286127252106,1277.37440451891,1294.23974604323,43.9424064026446
Haiti,2018,15965670198.4548,1.66782666363679,1282.23862032506,1435.35175551073,46.3779945985584
Haiti,2019,14332163266.3977,-1.68198512950129,1245.01249625003,1272.4909246734,47.3545792912647
Heavily indebted poor countries (HIPC),2017,713187205161.613,4.68542108743696,911.542194430607,939.509103511369,55.1837073073233
Heavily indebted poor countries (HIPC),2018,759123536838.027,4.08266418142142,923.065734934648,972.942914334936,57.411287259062
Heavily indebted poor countries (HIPC),2019,783061756161.729,4.06266117800278,934.838131946859,976.741808708116,55.6528689444814
High income,2017,51468319156973.6,2.43839500276574,42399.5457106432,42013.8899019256,61.7546639066376
High income,2018,54656884279246.1,2.19435002124948,43136.8093298065,44417.8679191719,62.8441795010624
High income,2019,55140634994666.1,1.643538086692,43656.4277631641,44617.4765305399,65.3601089472586
Honduras,2017,23136232229.6069,4.84291391050387,2176.29516512704,2453.72789597457,102.298625513661
Honduras,2018,24024189735.8876,3.69672956910365,2219.43646867526,2505.7767518955998,102.558376854398
Honduras,2019,25095395475.0393,2.65276116021215,2241.23866547752,2574.91219067443,96.6133512614005
Hong Kong,2017,341244161576.759,3.79103433501118,37929.4268377564,46165.8565115953,376.827829301823
Hong Kong,2018,361696880780.762,2.8474613899544,38698.9895247535,48543.4009905733,376.928400186092
Hong Kong,2019,365711532816.907,-1.24948812430758,37928.3533295197,48713.4737481561,353.225535728182
Hungary,2017,142961605733.026,4.31678098650497,15912.0146344436,14605.8543453283,165.195179213237
Hungary,2018,160418835850.907,5.40529410393094,16793.3841512184,16410.1872639683,163.382021854733
Hungary,2019,163469042867.956,4.57819046064414,17572.310646757,16731.8215139051,161.257730157012
IBRD only,2017,28864183920440.6,4.96527300924465,5864.17753383569,6094.41443043091,50.854858611034
IBRD only,2018,30807716110874.3,4.43962136425762,6071.85047990699,6448.82919322929,53.5368608038155
IBRD only,2019,31604112806477.3,3.66329454619819,6243.33947299991,6561.99428659455,51.4965996359064
Iceland,2017,24488176540.5908,4.54598290279273,51045.9400468343,71310.9392562342,88.069447110199
Iceland,2018,25737594324.022,3.81442300431327,51592.6546100899,72968.7042280499,92.0167884261274
Iceland,2019,24188038473.5438,1.91867686670734,51332.1412452913,66944.8330769825,85.9166662208067
IDA & IBRD total,2017,30964942653522.8,4.90794834862535,4701.6640640839,4889.16008178088,50.430444560695
IDA & IBRD total,2018,33032316632670.9,4.43564220622486,4850.96653892556,5152.65365955954,53.1633997145647
IDA & IBRD total,2019,33917225227399.3,3.66389958889066,4969.6335430281,5228.54414234076,51.1808303970242
IDA blend,2017,922589446187.657,2.71536788818435,1731.13402140245,1718.48233204613,31.7370660268966
IDA blend,2018,964268064192.791,3.48284117948323,1751.45494437137,1756.03960627613,37.3409343081382
IDA blend,2019,991547520067.22,2.23816519060077,1750.93446446597,1765.6634650645,38.1529405717764
IDA only,2017,1185503744780.45,5.44106327377438,1014.34360613764,1118.02654719899,54.5481392463
IDA only,2018,1268823087329.57,5.23200441322291,1043.77704266328,1170.10560560528,56.4095526572877
IDA only,2019,1331970889524.39,5.01697037309154,1071.67248106853,1200.91860733875,53.5932443181772
IDA total,2017,2107387269941.84,4.09341932778932,1257.84527813774,1319.41219090651,43.6106161386758
IDA total,2018,2231098324742.68,4.37862858545996,1283.77361581042,1365.85465109636,46.9634060711551
IDA total,2019,2320313648145.49,3.67256224675141,1301.27269072297,1388.82814141165,45.6157476319767
India,2017,2652754685834.59,7.04382085537057,1986.63290974892,1981.6510498992,40.7228112797364
India,2018,2713165057513.35,6.11958684136602,2086.45075048648,2005.86300452403,43.4049694956895
India,2019,2868929415617.02,4.18072762475113,2151.72603537868,2099.59904810855,39.5500608168754
Indonesia,2017,1015618742565.81,5.06978590134916,4120.52187883992,3837.65173121117,39.3554970704606
Indonesia,2018,1042240309412.58,5.16970560898147,4284.68582525458,3893.84642475571,43.0019440936794
Indonesia,2019,1119190780752.8,5.02471402216969,4450.72450013922,4135.56926281554,37.3033978584678
Iran,2017,445345256459.105,3.75519645192004,6948.70492458362,5520.31047120905,48.7806379098043
Iran,2018,453996479250.212,-6.02597852573442,6440.06539243446,5550.06095701484,65.0508409919589
Iran,2019,0,-6.78421566790148,5922.52758728661,0,56.1730621052694
Iraq,2017,195473049873.096,-2.49464293918186,5635.65916551479,5205.28825476591,73.5944695568976
Iraq,2018,224228010473.773,-0.563615471655993,5475.46596375893,5834.16621065352,79.9252944024375
Iraq,2019,234094042938.917,4.40090984469357,5589.02158223942,5955.10901036816,77.3477768565499
